comm,pc_cons,pc_cons_winzor,percentpoor,lat,lon,pc_cons_sd,pc_cons_winzor_sd,urban,households
40830002,1.2974818,1.2974818,.54545456,-1.1506003,29.672838,.94795674,.94795674,0,11
40830004,.95486277,.95790255,.5,-1.3249733,29.753521,.46537998,.46054947,0,12
40910002,2.5533073,2.5533073,.2,1.6943171,31.711855,1.8318478,1.8318478,1,5
40930005,1.6882658,1.6882658,.33333334,1.6260251,31.584976,.79535317,.79535317,0,3
40930007,1.1391993,1.1391993,.44444445,2.0926545,31.480083,.65074611,.65074611,0,9
40930009,1.3618965,1.3618965,.5,1.7466522,31.670069,.91850662,.91850662,0,4
40930011,.34922516,.34922516,1,2.2274392,32.261585,,,0,1
41010001,5.3569226,5.3569226,0,-.60876101,30.67223,2.5209816,2.5209816,1,6
41010005,5.0832167,5.0832167,0,-.59340233,30.661873,2.3336802,2.3336802,1,2
41010008,3.8320978,3.8320978,.125,-.13256295,30.478821,2.6163836,2.6163836,1,8
41030011,1.4587605,1.4587605,.11111111,-.9256019,30.794159,.42235556,.42235556,0,9
41030014,1.9952641,1.9952641,.40000001,.021426953,30.51725,1.545162,1.545162,0,10
41030017,2.8333082,2.8333082,.38461539,-.18634273,30.570772,3.109555,3.109555,0,13
41030020,3.2795384,3.2795384,0,-.58113945,30.787127,1.9288342,1.9288342,0,8
41030023,1.7687589,1.7687589,.33333334,-.85529506,30.659582,1.0861341,1.0861341,0,12
41030026,2.9920847,2.9920847,0,-.56057221,30.678801,2.4308691,2.4308691,0,8
41030029,1.7015425,1.7015425,.083333336,-.29505652,30.625927,.63610917,.63610917,0,12
41030032,1.3777635,1.3777635,0,-.15113828,30.948854,.13344403,.13344403,0,3
41030035,1.6679589,1.6679589,.25,-.2788738,30.890127,.75616246,.75616246,0,8
41030038,1.7348256,1.7348256,.18181819,-.72421408,30.422215,.81417561,.81417561,0,11
41110002,7.2162046,7.0392861,0,-.87155449,30.27462,5.4434066,5.0981002,1,9
41130004,2.1445649,2.1445649,.14285715,-.76057076,30.179094,1.2667068,1.2667068,0,7
41130006,1.1616298,1.1616298,.33333334,-.86766326,30.354115,.50152463,.50152463,0,9
41130007,1.3776132,1.3776132,.33333334,-1.0055684,30.387573,.59316069,.59316069,0,9
41130009,1.8383001,1.8383001,.25,-.77057165,30.282516,2.2836747,2.2836747,0,12
41230003,1.9681808,1.9681808,.11111111,-.96490079,29.959688,.86842078,.86842078,0,9
41230005,1.2646813,1.2646813,.5,-.63557267,29.814281,.63574541,.63574541,0,10
41330002,1.0720025,1.0720025,.5,.38908058,30.486662,.45209908,.45209908,0,8
41330003,1.934971,1.934971,.36363637,.14691237,30.50021,1.9127834,1.9127834,0,11
41330005,1.4003108,1.4003108,0,-.10503817,30.264219,.36590129,.36590129,0,6
41410001,3.4569166,3.4569166,.14285715,-.89675093,29.778324,3.9596548,3.9596548,1,7
41430003,1.3037467,1.3037467,.33333334,-.77966511,29.653027,.67568541,.67568541,0,9
41430005,1.7231344,1.7231344,.55555558,-.92032379,29.801229,1.8256875,1.8256875,0,9
41510002,7.0259418,6.6234279,0,.59972876,30.642483,6.9104743,6.132256,1,4
41530004,1.3958641,1.3958641,.42857143,.41965005,31.036463,.79686153,.79686153,0,7
41530006,2.6132729,2.6132729,.5,.59102362,30.47159,2.4959822,2.4959822,0,6
41530007,1.6941648,1.6941648,.125,.72875762,30.646589,.70874709,.70874709,0,8
41530009,2.1386912,2.1386912,.40000001,.82201171,30.792131,2.2682569,2.2682569,0,10
